11-12-2022,001,030,17,1,17.0,2.72,19.72
31-01-2023,002,044,75.6,2,151.2,24.192,175.392
31-01-2023,003,050,12,1,12.0,1.92,13.92
31-01-2023,004,050,12,1,12.0,1.92,13.92
31-01-2023,005,030,17,1,17.0,2.72,19.72
31-01-2023,006,035,192.9,1,192.9,30.864,223.764
31-01-2023,007,001,14,1,14.0,2.24,16.240000000000002
12-02-2023,008,001,13,1,13.0,2.08,15.08
12-02-2023,009,004,30,1,30.0,4.8,34.8
12-02-2023,009,003,26,1,26.0,4.16,30.16
12-02-2023,009,020,9,1,9.0,1.44,10.44
12-02-2023,010,020,9,1,9.0,1.44,10.44
12-02-2023,010,010,8.4,1,8.4,1.344,9.744
12-02-2023,010,030,17,1,17.0,2.72,19.72
12-02-2023,011,020,9,1,9.0,1.44,10.44
12-02-2023,011,003,26,1,26.0,4.16,30.16
12-02-2023,011,015,10.2,1,10.2,1.632,11.831999999999999
12-02-2023,011,035,192.9,1,192.9,30.864,223.764
